id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,job_benefits,company_process_time,company_size,company_industry,job_description,salary
1,Facility Maintenance & Smart Warehouse Manager,Bandung,IDR,Manajer/Asisten Manajer,5 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Manufaktur,Pemeliharaan",,,,,"Deskripsi PekerjaanRequirements :D3/SI from reputable University Majoring Electrical/Mechanical EngineeringExperience Over 5-10 years Machine & Facility Maintenance in garment and apparel business or related industryGood communication skill in English for both writing and speakingSmart, Flexible, initiative, willing to work hardStrong negotiation power with vendors or suppliers spare partsDetailed oriented, quick response, positive & eager to learn, proactive & aggressiveHard Skills:Proficient in spoken and written EnglishAble to operate computer (min. MS Office)Acknowledge the types of sewing machine, boiler, compressors, aircon, electrical installation, electrical inspection, smart warehouse operationsAble to do PDCAUnderstand Management System (KPI)Able to identify issue, set up corrective and preventive action planetcSoft Skills:Have leadership & good communication skillAnalytical ThinkingDecision makingTime managementetcResponsibilities :Develop objective target program for facility maintenance and ensure the programs are carry out accordinglyEnsure smart warehouse operation smoothlySupervise subordinate to ensure facility maintenance program execute on daily basis (such as: cleaning, etc)Forecast manpower & budget planning on annual basisEnsure KPI for facility maintenance are on track and achieve the targetEnsure all customers audit findings are follow up and close as per timelineetcPriorities:> Certified Electrical Expert (Ahli K3 Listrik) & Smart Warehouse Operations",
2,Procurement Department Head,Jakarta Raya,IDR,Manajer/Asisten Manajer,5 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Manufaktur,Pembelian/Manajemen Material",,25 days,51 - 200 pekerja,Manajemen/Konsulting HR,"Job Role: 1. Responsible for material availability for production heavy equipment and supporting equipment to ensure supportto operational needs, with proper specification, budget, quantity and time required.2. Ensure complete database of suppliers/vendors/subcontractors, contract management, material delivery, scrapreselling activities from Jobsite accordingly to plan and procedure.3. Ensuring subcontractor requirements for heavy equipment/units in Production, Engineering & PlantRequirement(s)Education S1 Mechanical Engineering / Industrial Engineering / EconomicsWork Experience(s) 5 Years in the same position, preferably from mining servicesIndustry Preference: Mining ServicesTechnical Skill: Heavy Equipment Knowledge, Negotiation Skill, Contract ManagementGood command in English is a must",
3,SALES ADMIN,Jakarta Barat,IDR,Supervisor/Koordinator,4 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel","Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);-",30 days,51 - 200 pekerja,Umum & Grosir,"Internal Sales & AdminJob Description :We are looking for a qualified Internal Sales & Admin to join our sales team and help us to achieve our goals.Highly skilled individual is required with theFollowing qualifications :·    Proactive and resilient to customer and maintain good relationship·    Maintaining and updating sales and customer records.·    Contacting customers by phone or email to answer queries and obtain missing information.·    Provide essential support to Sales Team, including prepare quotes, sales report and other sales activities.Job Requirements:·    Minimum academic required is D3, S1 is preferable·    Good in English·    Minimum year experiences is 4 years ·    Knowledge of administrative and clerical procedures and systems·   Knowledge of principles and processes for providing customer care and sales support·   Good communication Skill Required : Microsoft Office (Word, Excel,) and Email (Outlook).Tentang Perusahaan :Herewith, we would like to introduce our company, PT Unggul Prakarsa Prisma, is an active engineering and stockiest in Indonesia. We are mainly doing business in the field of industrial especially supplying for Petrochemical,Fertilizer,Various of industries,Power Plant,Palm Oil,EtcOur major business is AUTHORIZED AGENT/DISTRIBUTOR/STOCKIST For :ASAHI VALVES-JAPAN-PLASTIC VALVESFUJIKIN-JAPAN-INTRMT FITTINGS,VALVESFLUONIC-KOREA – LINED PFA VALVES,GUICHON VALVES-FRANCE-DIVERTER VALVESGRAPHITE INDIA-INDIA-HCL SYSTHESIS UNITMETALTEK-USA-FURNACE/REFORMER TUBES,ALLOYS JC VALVES-SPAIN -BALL VALVES,HISAKA HEAT EXCHANGER-JAPAN-PLATE HEAT EXCHANGER-HISAKA BALL VALVE -JAPAN-CONTROL BALL CONTROLVALVE SPECIAL METALS-USA-PIPE,TUES ALLOYSTPS - GERMANY U-TUBES HEAT EXHZEPPELIN-GERMANY-SILO,CONVEYING,RESISTOTECH – INDIA-PIPE,FITTING PTFE, PFAGENERAL PRODUCT :PIPE : TUBOS, JFE, SEAH STEEL, ARCELORMITTAL CS PIPES : ASTM A53 GR.B, A106 GR.B, API 5L GR.B A333, A335,SS PIPES : ASTM A312 TP 304/304L, 316 / 316L, A317L, A321HFITTINGS : BENKAN, SK BEND, ST ENG, W.GELDBACH, AWAJI, MEGA-CS A234WPB, A420WPL6, A105, A350LF2 SS ASTM A403 TP 304/304L, 316/316LSTUDBOLT MATERIAL ASTM A193 GR.B7 / ASTM A194 SR 2HFLANGES : ULMA, METALFAR,CARBON STEEL,ASTM A105 , A350LF2 STAINLESS STEEL : ASTM A182 F304 / 304L, 316 / 316L WNRF, SLIP-ON, LAPJOINT, SW, TREADED, BLIND,ORIFICE FLANGES,GASKET-SPIRAL WOUND GASKETS,STUD BOLT : CS/SSWEB UPP : www.unggulpp.com",
4,City Operation Lead Shopee Express (Cirebon),Cirebon,IDR,Supervisor/Koordinator,5 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Pelayanan,Logistik/Rantai Pasokan","Tip;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",21 days,2001 - 5000 pekerja,Retail/Merchandise,"Job Description:Responsible for HSE implementation and ensure people safety within assigned City(s)Leading and Managing day to day overall operations including First Mile, Sorting Center, Middle Mile & Last Mile within assigned province(s)Responsible for CPP within assigned city(s)To ensure operation team follow Company SOP & WIResponsible to achieve KPI target that aligned with company goals and objectivesBe accountable and supervise any expenses incurredResponsible to coach & develop team members based on company standard Learning & Development guidelines Requirements: At least has 5 years of experiences in Express Company / Logistics Company, and managing some provinces / regionsAt least a Bachelor degree from any majorSkilled in Express / Courier Transport Operation Management (First Mile, Middle Mile, Sorting Center & Last Mile), Project, People, and Community ManagementExcellent in problem-solving and analytical skills (Kaizen & Lean skills are preferred)Good communication skills (written and verbal)Lead by example (hands-on) leadership style who can show operation solution in the floorUnderstand and having experiences on operating Transport / Freight Management System (TMS / FMS)Willing to travel",
5,Japanese Interpreter,Bekasi,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Lainnya,Jurnalis/Editor",,23 days,201 - 500 pekerja,Manajemen/Konsulting HR,"Overview: Our clients is manufacture for automotive parts which located in MM2100, Bekasi.Position: Japanese InterpreterRequirement:Candidate must possess at least a Diploma, Bachelor's Degree, any field.Required skill(s): japanese interpreter, japanese translator, speaking japanese, jlpt n2, jlpt n1.Required language(s): English, JapaneseAt least 2 year(s) of working experience in the related field is required for this position, as Japanese translator/ interpreter in manufacturePreferably Staff (non-management & non-supervisor)s specializing in Journalist/Editor or equivalent.Full-Time position(s) or permanent position is available.Willing to work for a long time or loyal person Job description:Translator or interpreter during meetingTaking care of documents (need translate Indo - Jepang /Jepang Indonesia / reports )Need candidate Speak technical languagesOthers task related this positionBenefits: meal will be provided by company (catering) overtime will be paid transportation will be paid (no pick up bus) tax paid by company THR Bonus depend company profit working time: Mon - Fri 7.00 am to 16.00 pmPermanent position is available",
6,KEPALA PABRIK,Balikpapan,IDR,Supervisor/Koordinator,,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Manufaktur,Manufaktur",Asuransi kesehatan;Bisnis (contoh: Kemeja);Project Incentive;Senin - Jumat 08.00 s/d 16.30 Sabtu 08.00 s/d 13.00,18 days,51 - 200 pekerja,Manufaktur/Produksi,"Tedmond Groups membuka Lowongan Kepala Pabrik, dengan Kriteria :1.                  Usia Max 452.                   Segala Jurusan Bagi Yang Mempunyai Pengalaman Minimal 2 Tahun Sebagai Kepala Pabrik3.                  Jurusan S1 Teknik Industri Bagi yang berpengalaman Minimal 3 Tahun Sebagai PPIC4.                  Mengerti dan memahami kegiatan produksi (Blow, Rotor, dan Stainless)5.                  Memahami pengontrolan persediaan bahan baku6.                  Mengerti dan memahami barang spare part7.                  Mampu mengoperasikan Microsoft Word, Excel8.                  Memiliki administrasi yang baik dan rapi9.                  Mampu bekerja secara individu maupun team dengan deadline yang ketat10.              Disiplin, bertanggungjawab, teliti, dan jujur11.              Kemampuan Leadership (Khususnya Komunikasi, Kontroling dan Monitoring)12.              Untuk Penempatan diseluruh cabang Tedmond Groups ( Cabang Balikpapan, Cabang Banjarmasin, cabang Manado)",10500000.0
7,Admin Online Shop,Tangerang,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM",Penuh Waktu,"Penjualan / Pemasaran,E-commerce",,,,Retail/Merchandise,"Deskripsi Pekerjaan:Dapat menggunakan aplikasi E-Commerce/Market Place (contoh: Tokopedia, Blibli, Shopee, dan lain-lain)Bertanggung jawab terhadap penjualan onlineMemasarkan produk broadcast chat dan social media.Memonitor penjualan dan pengiriman untuk orderan onlineMembantu menyelesaikan jika ada orderan online yang bermasalahMenjawab chat / pertanyaan konsumen onlineMemberikan pelayanan yang terbaik bagi konsumenSelalu belajar hal baru & mengikuti perkembangan aplikasi-aplikasi marketplace dan sosmed.Kualifikasi:Maksimal Usia 23 tahunLulusan SMASMK/SederajatTidak sedang kullahFamiliar dengan homputer, sosmed FB, IG, marketplace, dan MS OfficeAmanah, disiplin dan bertanggungjawabKreatif dan mau belajarDiutamakan domisili Serpong dan sekitarnya",
8,Accounting Staff,Tangerang,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan","Asuransi kesehatan;Waktu regular, Senin - Jumat;Business, Uniform",30 days,501 - 1000 pekerja,Tekstil/Garment,"Job Responsibilities :To maintain fixed asset registerTo assist on GL reconciliation vs Tax monthly reportTo update standard cost on purchase itemsTo perform additional duties commensurate with the current role, as and when requested by managementReports to : Financial ControllerJob Requirements :Age maximum 30Graduated from reputable university majoring Accounting with GPA minimum 3.00 (in a scale of 4.00)At least 2 year (s) of working experiences in the related field is required in this positionStrong in numbers, analytical thinking, thoroughHonest and have integrity, self motivated and active, fast learner, initiative, team player, hard worker and responsibleWilling to work under pressureFamiliar on MS OfficeGood in English both oral and writtenFull-time position available, clear career path",
9,MEP Design - Cikarang,Bekasi,IDR,Supervisor/Koordinator,4 tahun,Sarjana (S1),Penuh Waktu,"Teknik,Teknik Elektro","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",20 days,2001 - 5000 pekerja,Properti/Real Estate,"Job Responsibilites:Manage the MEP design of the project and coordinate with other building disciplines on the design. Review drawings, specifications and computer models of structures for building contractors also able to provide technical and professional structural engineering support and advices to the project teamResponsible for setting/reviewing MEP (mechanical, electrical, and plumbing) specifications and equipment and concept for the new project and sourcing/procurement/drawing up requirements and duties of MEP ConsultantUnderstand national and local policies, well informed on the design guideline and authority requirement and submission procedure. Make sure our project comply with regulations and design engineering, construction standards or normsJob Requirements :Candidate must possess at least Bachelor's Degree in Engineering (Electrical/Electronic), Engineering (Mechatronic/Electromechanical), Mechanical, or equivalentRequired language(s): EnglishAt least 4 Year(s) of working experience as Mechanical and Electrical Specialist, preferably some years experiences in big MEP design or site and management project(s)Responsible, hard worker, able to work independently or with team, initiative, good communication and proactive in resolving technical & coordination’s issuesWilling to be placed in Cikarang",
10,Tax Supervisor,Banten,IDR,Supervisor/Koordinator,3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Akuntansi / Keuangan,Audit & Pajak","Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);BPJS, Bonus, Annual Reward",22 days,51 - 200 pekerja,Konstruksi/Bangunan/Teknik,"ResponsibilitiesPrepare corporate income tax (CIT) or annual tax report calculationPreparing monthly tax compliance and returns (PPH 21, PPH 22, PPH 23, Final Tax article 4(2) and VAT), reporting, and ensure timely submission of tax filingResponsible for issuance of tax invoice, maintain e-nofa for tax invoice numbers and checking up on digital electronic certificate of e-faktur aoolication for VATCreate quarterly fiscal depreciationManage monthly reports for all taxesReviewing financial transaction to ensure the correctness of tax reporting and make performing reconciliation to general ledger entriesEnsuring the withholding tax slips from clients in accordance with the tax law and regulationsHandle all tax related issuesRequirementsCandidate must possess at least Diploma or Bachelor's Degree in Finance/Accounting/TaxAt least 3-5 years of working experience in a construction/engineering company is required for this positionUnderstand Tax Regulations and be able to operate Tax Application System, (E-Faktur, E-SPT, E-Bupot, etc.)Must have Brevet A & BCollaborate with external and internal parties in a professional mannerAble to operate Ms. OfficeGood interpersonal skills and communication skills at all levelsAble to manage time effectively and perform under pressureProblem-solving skills and hardworking behaviourPlacement in Tangerang Head OfficeMust speak English actively, passive is not acceptedCan join as soon as possible",8000000.0
